Ronde,Nao KODAIRA,LEE Sang-Hwa,Karolina ERBANOVA,Vanessa HERZOG,Brittany BOWE,Jorien TER MORS,Angelina GOLIKOVA,Arisa GO,YU Jing,Marsha HUDEY,Heather BERGSMA,KIM Hyun-Yung,Erina KAMIYA,Heather MCLEAN,ZHANG Hong,KIM Min Sun,Judith DANNHAUER,Hege BOKKO,Anice DAS,TIAN Ruining,Yekaterina AYDOVA,HUANG Yu-Ting,Lotte VAN BEEK,Erin JACKSON,Kaja ZIOMEK,Yvonne DALDOSSI,Ida NJATUN,Elina RISKU,Francesca BETTRONE,Kseniya SADOUSKAYA,Alexandra IANCULESCU
100,10.26,10.20,10.30,10.49,10.45,10.50,10.41,10.37,10.51,10.35,10.73,10.69,10.60,10.53,11.00,10.65,10.45,10.94,10.76,10.72,10.64,11.12,11.18,10.82,10.72,10.75,11.24,10.83,10.99,10.81,11.24
500,26.68,27.13,27.04,27.02,27.08,27.03,27.21,27.30,27.30,27.53,27.40,27.56,27.65,27.76,27.39,27.88,28.08,27.59,27.99,28.14,28.32,27.86,28.00,28.38,28.54,28.53,28.09,28.53,28.53,28.83,29.46
