Ronde,Havard LORENTZEN,CHA Min Kyu,GAO Tingyu,Mika POUTALA,Daichi YAMANAKA,Joji KATO,Ronald MULDER,Nico IHLE,Kai VERBIJ,Jan SMEEKENS,Alex BOISVERT-LACROIX,KIM Jun-Ho,Artur WAS,Tsubasa HASEGAWA,Mitchell WHITMORE,MO Tae-Bum,Gilmore JUNIO,Laurent DUBREUIL,Pekka KOSKELA,Pedro CAUSIL,Daniel GREIG,Ignat GOLOVATSIUK,Jonathan GARCIA,Stanislav PALKIN,Artyom KRIKUNOV,Kimani GRIFFIN,YANG Tao,Henrik Fagerli RUKKE,Joel DUFTER,Mirko Giacomo NENZI,XIE Jiaxuan,Mathias VOSTE,Piotr MICHALSKI,SUNG Ching-Yang,Roman KRECH,Artur NOGAL
100,9.74,9.63,9.47,9.61,9.55,9.53,9.59,9.76,9.68,9.74,9.56,9.68,9.67,9.67,9.90,9.61,9.62,9.75,9.80,9.96,9.70,9.92,9.91,9.93,9.78,10.06,9.86,9.93,10.01,9.85,9.88,10.01,9.92,9.78,9.93,19.26
500,24.67,24.79,25.18,25.07,25.23,25.30,25.24,25.13,25.22,25.19,25.37,25.33,25.35,25.41,25.23,25.54,25.53,25.41,25.39,25.23,25.52,25.31,25.40,25.40,25.56,25.32,25.55,25.57,25.49,25.66,25.66,25.53,25.72,26.08,25.99,39.45
